# file...... outputs/current_output_2.csv
# date...... Fri May  3 12:31:31 2019
# user...... keegan
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_2_meter_1:measured_current_A,branch_2_meter_1:measured_current_B,branch_2_meter_1:measured_current_C,branch_2_meter_2:measured_current_A,branch_2_meter_2:measured_current_B,branch_2_meter_2:measured_current_C,branch_2_meter_3:measured_current_A,branch_2_meter_3:measured_current_B,branch_2_meter_3:measured_current_C,branch_2_meter_4:measured_current_A,branch_2_meter_4:measured_current_B,branch_2_meter_4:measured_current_C,branch_2_meter_5:measured_current_A,branch_2_meter_5:measured_current_B,branch_2_meter_5:measured_current_C
2013-07-01 08:00:00 PDT,+0.175229-0.0153169j,-0.100921-0.144109j,+0.0579563-0.100261j,+0.175229-0.0153169j,-0.100921-0.144109j,+0.0289787-0.0501298j,+0.233142-0.0153025j,-0.100921-0.144109j,+0.0289787-0.0501298j,+0.087614-0.00765908j,-0.100921-0.144109j,+0.0289787-0.0501298j,+0.145527-0.00764514j,-0.100921-0.144109j,+0.0289787-0.0501298j
2013-07-01 08:01:00 PDT,+0.171818-0.0153187j,-0.0992167-0.141155j,+0.0596646-0.103213j,+0.171818-0.0153187j,-0.0992167-0.141155j,+0.0298329-0.0516058j,+0.231437-0.0153032j,-0.0992167-0.141155j,+0.0298329-0.0516058j,+0.0859084-0.00765997j,-0.0992167-0.141155j,+0.0298329-0.0516058j,+0.145527-0.00764492j,-0.0992167-0.141155j,+0.0298329-0.0516058j
2013-07-01 08:02:00 PDT,+0.168324-0.0153206j,-0.0974709-0.138129j,+0.0614144-0.106237j,+0.168324-0.0153206j,-0.0974709-0.138129j,+0.0307078-0.0531176j,+0.22969-0.0153039j,-0.0974709-0.138129j,+0.0307078-0.0531176j,+0.0841614-0.00766093j,-0.0974709-0.138129j,+0.0307078-0.0531176j,+0.145527-0.00764471j,-0.0974709-0.138129j,+0.0307078-0.0531176j
2013-07-01 08:03:00 PDT,+0.164748-0.0153226j,-0.0956843-0.135033j,+0.0632052-0.109331j,+0.164748-0.0153226j,-0.0956843-0.135033j,+0.0316032-0.0546647j,+0.227902-0.0153047j,-0.0956843-0.135033j,+0.0316032-0.0546647j,+0.0823736-0.00766195j,-0.0956843-0.135033j,+0.0316032-0.0546647j,+0.145527-0.00764449j,-0.0956843-0.135033j,+0.0316032-0.0546647j
2013-07-01 08:04:00 PDT,+0.161092-0.0153248j,-0.0938578-0.131866j,+0.0650363-0.112495j,+0.161092-0.0153248j,-0.0938578-0.131866j,+0.0325188-0.0562465j,+0.226074-0.0153056j,-0.0938578-0.131866j,+0.0325188-0.0562465j,+0.0805456-0.00766303j,-0.0938578-0.131866j,+0.0325188-0.0562465j,+0.145527-0.00764426j,-0.0938578-0.131866j,+0.0325188-0.0562465j
2013-07-01 08:05:00 PDT,+0.157357-0.0153271j,-0.0919918-0.128632j,+0.0669071-0.115727j,+0.157357-0.0153271j,-0.0919918-0.128632j,+0.0334543-0.0578625j,+0.224206-0.0153065j,-0.0919918-0.128632j,+0.0334543-0.0578625j,+0.0786781-0.00766419j,-0.0919918-0.128632j,+0.0334543-0.0578625j,+0.145527-0.00764403j,-0.0919918-0.128632j,+0.0334543-0.0578625j
2013-07-01 08:06:00 PDT,+0.153545-0.0153296j,-0.0900871-0.12533j,+0.0688169-0.119026j,+0.153545-0.0153296j,-0.0900871-0.12533j,+0.0344092-0.0595121j,+0.2223-0.0153075j,-0.0900871-0.12533j,+0.0344092-0.0595121j,+0.0767717-0.00766542j,-0.0900871-0.12533j,+0.0344092-0.0595121j,+0.145528-0.0076438j,-0.0900871-0.12533j,+0.0344092-0.0595121j
2013-07-01 08:07:00 PDT,+0.149656-0.0153322j,-0.0881444-0.121962j,+0.0707651-0.122391j,+0.149656-0.0153322j,-0.0881444-0.121962j,+0.0353833-0.0611947j,+0.220356-0.0153085j,-0.0881444-0.121962j,+0.0353833-0.0611947j,+0.0748272-0.00766673j,-0.0881444-0.121962j,+0.0353833-0.0611947j,+0.145528-0.00764356j,-0.0881444-0.121962j,+0.0353833-0.0611947j
2013-07-01 08:08:00 PDT,+0.145691-0.015335j,-0.0861642-0.118528j,+0.072751-0.125821j,+0.145691-0.015335j,-0.0861642-0.118528j,+0.0363763-0.0629098j,+0.218374-0.0153097j,-0.0861642-0.118528j,+0.0363763-0.0629098j,+0.072845-0.00766811j,-0.0861642-0.118528j,+0.0363763-0.0629098j,+0.145528-0.00764331j,-0.0861642-0.118528j,+0.0363763-0.0629098j
2013-07-01 08:09:00 PDT,+0.141653-0.0153379j,-0.0841473-0.115031j,+0.074774-0.129315j,+0.141653-0.0153379j,-0.0841473-0.115031j,+0.0373878-0.0646568j,+0.216355-0.0153109j,-0.0841473-0.115031j,+0.0373878-0.0646568j,+0.070826-0.00766958j,-0.0841473-0.115031j,+0.0373878-0.0646568j,+0.145528-0.00764306j,-0.0841473-0.115031j,+0.0373878-0.0646568j
